id,odds_file,name,icon_type,description
1,"box_rank_1-3","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
2,"eq_rank_3-6","RANK3～6の装備アイテム",99002,"キャラのRANK1～4で必要となる装備アイテム"
3,"eq_rank_4-7","RANK4～7の装備アイテム",99002,"キャラのRANK4～7で必要となる装備アイテム"
4,"1000120101","ハツネのメモリーピース",99002,""
5,"1000120102","シオリのメモリーピース",99002,""
6,"1000220101","ミソギのメモリーピース",99002,""
7,"1000220102","ミミのメモリーピース",99002,""
8,"1000320101","マホのメモリーピース",99002,""
9,"1000320102","カオリのメモリーピース",99002,""
10,"1000420101","コッコロ（サマー）のメモリーピース",99002,""
11,"1000420102","サレンのメモリーピース",99002,""
12,"eq_rank_5-8","RANK5～8の装備アイテム",99002,"キャラのRANK5～8で必要となる装備アイテム"
13,"1000520101","ミフユ（サマー）のメモリーピース",99002,""
14,"1000520102","アキノのメモリーピース",99002,""
15,"1000620101","ジュンのメモリーピース",99002,""
16,"1000620102","ユカリのメモリーピース",99002,""
17,"1000720101","ミヤコ（ハロウィン）のメモリーピース",99002,""
18,"1000720102","ヨリのメモリーピース",99002,""
19,"1000820101","アンナのメモリーピース",99002,""
20,"1000820102","ミツキのメモリーピース",99002,""
21,"1000920101","クルミ（クリスマス）のメモリーピース",99002,""
22,"1000920102","ノゾミのメモリーピース",99002,""
23,"1001020101","レイ（ニューイヤー）のメモリーピース",99002,""
24,"1001020102","ユイのメモリーピース",99002,""
25,"1001120101","エリコ（バレンタイン）のメモリーピース",99002,""
26,"1001120102","リノのメモリーピース",99002,""
27,"1001220101","マコトのメモリーピース",99002,""
28,"1001220102","ユキのメモリーピース",99002,""
29,"1001320101","ルゥのメモリーピース",99002,""
30,"1001320102","イオのメモリーピース",99002,""
31,"1001420101","ハツネのメモリーピース",99002,""
32,"1001420102","シオリのメモリーピース",99002,""
33,"1001520101","マコトのメモリーピース",99002,""
34,"1001520102","ユキのメモリーピース",99002,""
35,"1001620101","ミソギのメモリーピース",99002,""
36,"1001620102","ミミのメモリーピース",99002,""
37,"box_rank_2-4","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
38,"box_rank_2-5","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
39,"box_rank_3-6","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
40,"box_rank_4-5","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
41,"box_rank_6-7","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
42,"box_rank_7-8","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
43,"box_rank_8-10","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
44,"box_rank_8-11","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
45,"box_rank_9-12","ランダム装備BOX",99002,"ランダムな装備が獲得できる。"
46,"1001720101","ラムのメモリーピース",99002,""
47,"1001720102","スズメのメモリーピース",99002,""
48,"1001820101","マホのメモリーピース",99002,""
49,"1001820102","カオリのメモリーピース",99002,""
50,"1001920101","イオ（サマー）のメモリーピース",99002,""
51,"1001920102","ミサキのメモリーピース",99002,""
52,"1002020103","コッコロ（サマー）のメモリーピース",99002,""
53,"1002020104","サレンのメモリーピース",99002,""
54,"1002120103","カオリ（サマー）のメモリーピース",99002,""
55,"1002120104","カスミのメモリーピース",99002,""
56,"1002220101","ミフユ（サマー）のメモリーピース",99002,""
57,"1002220102","アキノのメモリーピース",99002,""
58,"1002320101","ルカのメモリーピース",99002,""
59,"1002320102","アオイのメモリーピース",99002,""
60,"1002520101","ミソギ（ハロウィン）のメモリーピース",99002,""
61,"1002520102","キョウカのメモリーピース",99002,""
62,"1002420101","ジュンのメモリーピース",99002,""
63,"1002420102","ユカリのメモリーピース",99002,""
64,"1002620101","ミヤコ（ハロウィン）のメモリーピース",99002,""
65,"1002620102","ヨリのメモリーピース",99002,""
66,"1002720101","トモのメモリーピース",99002,""
67,"1002720102","マツリのメモリーピース",99002,""
68,"1002820101","アンナのメモリーピース",99002,""
69,"1002820102","ミツキのメモリーピース",99002,""
70,"1002920101","ノゾミ（クリスマス）のメモリーピース",99002,""
71,"1002920102","イリヤのメモリーピース",99002,""
72,"1003020101","クルミ（クリスマス）のメモリーピース",99002,""
73,"1003020102","ノゾミのメモリーピース",99002,""
74,"1003120101","スズメ（ニューイヤー）のメモリーピース",99002,""
75,"1003120102","クルミのメモリーピース",99002,""
76,"1003320101","シオリ（マジカル）のメモリーピース",99002,""
77,"1003320102","シズルのメモリーピース",99002,""
80,"1003220101","レイ（ニューイヤー）のメモリーピース",99002,""
81,"1003220102","ユイのメモリーピース",99002,""
86,"1003420101","エリコ（バレンタイン）のメモリーピース",99002,""
87,"1003420102","リノのメモリーピース",99002,""